Feature,Importance
categorical__Product ID_L53851,3.53657422113414e-05
categorical__Product ID_L52481,3.535332160957976e-05
categorical__Product ID_L52871,3.5338089197527334e-05
categorical__Product ID_L52569,3.532917147959533e-05
categorical__Product ID_L54044,3.522008976838568e-05
categorical__Product ID_M20182,3.514888630051616e-05
categorical__Product ID_L51555,3.507004242909132e-05
categorical__Product ID_L54924,3.500566315242094e-05
categorical__Product ID_L52007,3.499276078333082e-05
categorical__Product ID_L50854,3.4980034303770315e-05
categorical__Product ID_L52956,3.4904852899157695e-05
categorical__Product ID_L52877,3.483051621312844e-05
categorical__Product ID_M18592,3.478109293361335e-05
categorical__Product ID_M18694,3.46390193407837e-05
categorical__Product ID_M20481,3.450586923447858e-05
categorical__Product ID_L51473,3.450408932979028e-05
categorical__Product ID_L50917,3.441083460503456e-05
categorical__Product ID_L55452,3.437264342900488e-05
categorical__Product ID_L47609,3.427293854076887e-05
categorical__Product ID_L48638,3.42352473666838e-05
categorical__Product ID_L52101,3.411369347501843e-05
categorical__Product ID_L56890,3.406500809018836e-05
categorical__Product ID_L54192,3.394600802444932e-05
categorical__Product ID_H35163,3.379869135016724e-05
categorical__Product ID_L53901,3.370477769023286e-05
categorical__Product ID_L50674,3.369260001225148e-05
categorical__Product ID_L51813,3.3584810358604346e-05
categorical__Product ID_L51407,3.351592647370591e-05
categorical__Product ID_L52896,3.349860547017576e-05
categorical__Product ID_L50163,3.3330309128679944e-05
categorical__Product ID_M21503,3.319585607285657e-05
categorical__Product ID_L53172,3.3106363080150944e-05
categorical__Product ID_L52575,3.30605261459256e-05
categorical__Product ID_L56221,3.303888114457526e-05
categorical__Product ID_H31269,3.3029918188407364e-05
categorical__Product ID_L49885,3.300612906286589e-05
categorical__Product ID_M21785,3.2851855655693165e-05
categorical__Product ID_L55027,3.284458556244631e-05
categorical__Product ID_M17483,3.277503543918683e-05
categorical__Product ID_M17146,3.272991640859668e-05
categorical__Product ID_L53611,3.2723065316059864e-05
categorical__Product ID_L50764,3.2673842606550434e-05
categorical__Product ID_L53349,3.2656505063433886e-05
categorical__Product ID_M20321,3.262496725019822e-05
categorical__Product ID_L52242,3.2357847009875976e-05
categorical__Product ID_L52949,3.232089632126358e-05
categorical__Product ID_L52444,3.221245827064636e-05
categorical__Product ID_L49056,3.205006319513972e-05
categorical__Product ID_M22333,3.198078445903867e-05
categorical__Product ID_M19812,3.196726701109002e-05
categorical__Product ID_L51818,3.195035509380441e-05
categorical__Product ID_L50095,3.194373561024956e-05
categorical__Product ID_L53263,3.1913455916371e-05
categorical__Product ID_H34790,3.1716245706053186e-05
categorical__Product ID_M20088,3.1549764987741704e-05
categorical__Product ID_M18512,3.153434471980021e-05
categorical__Product ID_L51505,3.152068547042101e-05
categorical__Product ID_L52941,3.1428756048070224e-05
categorical__Product ID_M16334,3.1401035851286085e-05
categorical__Product ID_L50691,3.136426333957197e-05
categorical__Product ID_L51231,3.128511229776712e-05
categorical__Product ID_L52047,3.1267448041466704e-05
categorical__Product ID_L50956,3.1255497256135944e-05
categorical__Product ID_M20390,3.1240713030336976e-05
categorical__Product ID_L50548,3.121035326412392e-05
categorical__Product ID_M16830,3.114872919964422e-05
categorical__Product ID_M19660,3.110259046926361e-05
categorical__Product ID_M22489,3.1044231211162916e-05
categorical__Product ID_L53469,3.100508146980106e-05
categorical__Product ID_L52599,3.090354202468511e-05
categorical__Product ID_L52773,3.0850964778197386e-05
categorical__Product ID_L55207,3.0835361091180216e-05
categorical__Product ID_M15854,3.074949363326542e-05
categorical__Product ID_L51962,3.074717254243964e-05
categorical__Product ID_L51874,3.072620048314615e-05
categorical__Product ID_L48433,3.068189025484546e-05
categorical__Product ID_H35390,3.043006638000731e-05
categorical__Product ID_L52058,3.03531139888634e-05
categorical__Product ID_L52237,3.0334737369662994e-05
categorical__Product ID_H34017,3.0328670631920387e-05
